Timestamp,Violation Type,Severity
2026-04-26 19:19:19,Looking Away (Left/Right),High
2026-04-26 19:19:27,Suspicious Eye Movement,High
2026-04-26 19:19:28,Looking Away (Left/Right),High
2026-04-26 19:19:30,Prohibited Object: CELL PHONE,Critical
2026-04-26 19:21:18,Suspicious Eye Movement,High
2026-04-26 19:21:19,Suspicious Eye Movement,High
2026-04-26 19:21:20,Suspicious Eye Movement,High
2026-04-26 19:21:21,Suspicious Eye Movement,High
2026-04-26 19:21:21,Looking Up/Down,High
2026-04-26 19:21:22,Suspicious Eye Movement,High
2026-04-26 19:21:22,Looking Away (Left/Right),High
2026-04-26 19:21:22,Suspicious Eye Movement,High
2026-04-26 19:21:23,Looking Away (Left/Right),High
2026-04-26 19:21:24,Looking Away (Left/Right),High
2026-04-26 19:21:25,Looking Away (Left/Right),High
2026-04-26 19:21:26,Suspicious Eye Movement,High
2026-04-26 19:21:26,Prohibited Object: CELL PHONE,Critical
2026-04-26 19:21:27,Looking Away (Left/Right),High
2026-04-26 19:21:29,Looking Away (Left/Right),High
2026-04-26 19:21:30,Looking Away (Left/Right),High
2026-04-26 19:21:31,Looking Away (Left/Right),High
2026-04-26 19:21:32,Looking Away (Left/Right),High
2026-04-26 19:21:33,Looking Away (Left/Right),High
2026-04-26 19:21:34,Looking Away (Left/Right),High
2026-04-26 19:21:36,Looking Away (Left/Right),High
2026-04-26 19:21:38,Suspicious Eye Movement,High
2026-04-26 19:21:39,Looking Away (Left/Right),High
2026-04-26 19:21:39,Suspicious Eye Movement,High
2026-04-26 19:21:43,Looking Away (Left/Right),High
2026-04-26 19:21:43,Suspicious Eye Movement,High
2026-04-26 19:21:44,Looking Away (Left/Right),High
2026-04-26 19:21:45,Suspicious Eye Movement,High
2026-04-26 19:21:45,Looking Away (Left/Right),High
2026-04-26 19:21:49,Looking Up/Down,High
2026-04-26 19:21:51,Looking Up/Down,High
2026-04-26 19:21:55,Looking Up/Down,High
2026-04-26 19:21:59,Looking Up/Down,High
2026-04-26 19:21:59,Speaking Detected,High
2026-04-26 19:22:01,Speaking Detected,High
2026-04-26 19:22:05,Speaking Detected,High
2026-04-26 19:22:07,Speaking Detected,High
2026-04-26 19:22:10,Speaking Detected,High
2026-04-26 19:22:16,Speaking Detected,High
2026-04-26 19:22:21,Prohibited Object: CELL PHONE,Critical
2026-04-26 19:22:28,Multiple Persons Detected!,Critical
2026-04-26 19:22:29,Looking Up/Down,High
2026-04-26 19:22:31,Looking Up/Down,High
2026-04-26 19:22:38,Suspicious Eye Movement,High
2026-04-26 19:22:38,Multiple Persons Detected!,Critical
